 T,E_prom,M_prom,cv,chi,aceptados
0.1,-1800.0,-900.0,0.0,0.0,0.008226
0.21,-1679.75526,238.72509,0.022508,0.177602,0.007444
0.33,-1680.0,180.0,0.0,0.0,0.007518
0.44,-1679.67824,179.374815,0.010079,0.021215,0.009552
0.55,-1800.0,900.0,0.0,0.0,0.007914
0.67,-1799.99118,899.997795,0.000177,7e-06,0.00717
0.78,-1799.66008,-899.91502,0.00478,0.000232,0.005592
0.89,-1799.27172,-899.81793,0.008239,0.000459,0.009894
1.0,-1649.20145,-68.790335,0.084575,3.640994,0.036092
1.12,-1789.62892,-892.99215,0.267033,0.480869,0.01585
1.23,-1621.68081,172.520005,0.161175,23.890723,0.051796
1.34,-1777.93525,894.114725,0.127093,0.013758,0.019206
1.46,-1760.41872,-887.84921,0.247385,0.117104,0.025808
1.57,-1740.80761,883.361675,0.248147,0.038794,0.032086
1.68,-1522.40156,-26.16286,0.360677,5.254204,0.097342
1.79,-1638.40619,795.802755,1.722564,10.037284,0.070606
1.91,-1573.32476,723.73392,2.461332,23.165326,0.09235
2.02,-1542.40928,-795.03496,0.893205,0.951504,0.103722
2.13,-1382.09616,537.36828,3.817028,38.006022,0.164318
2.25,-1306.88449,-552.62879,1.935967,33.589881,0.197942
2.36,-1080.10543,-47.27559,0.882465,14.014773,0.280802
2.47,-1049.77635,282.759365,1.293103,13.268217,0.305092
2.59,-932.86467,39.635345,0.526308,9.670023,0.35478
2.7,-863.75894,55.20717,0.596341,5.300408,0.390042
2.81,-802.99577,7.63757,0.555479,4.961064,0.42015
2.92,-759.49313,32.2861,0.418625,4.898898,0.447086
3.04,-728.21496,-25.693545,0.391328,4.389958,0.466614
3.15,-685.97286,7.030405,0.340577,3.828094,0.492098
3.26,-659.89227,-21.616945,0.303252,2.21493,0.507054
3.38,-626.6706,18.12255,0.310384,2.135107,0.528912
3.49,-596.01471,4.212635,0.24591,1.541107,0.546052
3.6,-572.789,0.5075,0.237513,1.75918,0.561664
3.72,-549.73649,5.757235,0.231417,1.516784,0.577452
3.83,-528.95159,3.897525,0.182167,0.927339,0.591648
3.94,-508.09331,1.78898,0.157813,0.964988,0.604746
4.05,-493.56741,0.65291,0.171791,1.138716,0.615086
4.17,-477.05871,0.327905,0.150991,1.077704,0.626118
4.28,-464.52566,0.69119,0.150667,0.774843,0.636438
4.39,-453.45033,-4.47906,0.143519,0.741108,0.646398
4.51,-435.5451,-8.144755,0.143913,0.776426,0.655388
4.62,-423.54149,7.977495,0.121993,0.735553,0.66545
4.73,-410.20826,-1.526765,0.115807,0.668149,0.673352
4.85,-398.84974,4.49198,0.105928,0.614878,0.68206
4.96,-391.4954,-5.42772,0.102201,0.485187,0.688254
