 paso,E_prom_acum,M_prom_acum
       1,    8.000000,   14.000000
       2,    8.000000,   13.000000
       3,    8.000000,   12.000000
       4,   10.000000,   12.000000
       5,   11.200000,   12.000000
       6,   12.666667,   12.333333
       7,   13.714286,   12.571429
       8,   15.500000,   12.500000
       9,   16.888889,   12.444444
      10,   17.600000,   12.600000
      11,   18.181818,   12.909091
      12,   18.333333,   13.333333
      13,   18.461538,   13.538462
      14,   18.857143,   13.857143
      15,   19.200000,   14.133333
      16,   19.750000,   14.250000
      17,   20.235294,   14.470588
      18,   20.666667,   14.555556
      19,   21.263158,   14.736842
      20,   21.400000,   14.800000
      21,   21.904762,   14.952381
      22,   22.727273,   15.181818
      23,   23.652174,   15.478261
      24,   24.500000,   15.833333
      25,   25.280000,   16.160000
      26,   26.000000,   16.538462
      27,   26.666667,   16.962963
      28,   27.285714,   17.285714
      29,   27.862069,   17.655172
      30,   28.400000,   17.933333
      31,   28.903226,   18.258065
      32,   29.375000,   18.500000
      33,   29.818182,   18.727273
      34,   30.235294,   18.882353
      35,   30.742857,   18.971429
      36,   31.222222,   19.055556
      37,   31.675676,   19.189189
      38,   32.210526,   19.263158
      39,   32.820513,   19.384615
      40,   33.400000,   19.500000
      41,   33.951220,   19.609756
      42,   34.571429,   19.666667
      43,   35.162791,   19.674419
      44,   35.909091,   19.727273
      45,   36.622222,   19.822222
      46,   37.304348,   19.956522
      47,   37.957447,   20.085106
      48,   38.750000,   20.166667
      49,   39.510204,   20.244898
      50,   40.240000,   20.360000
      51,   40.941176,   20.431373
      52,   41.615385,   20.500000
      53,   42.188679,   20.528302
      54,   42.740741,   20.555556
      55,   43.272727,   20.581818
      56,   43.785714,   20.571429
      57,   44.280702,   20.561404
      58,   44.758621,   20.517241
      59,   45.288136,   20.508475
      60,   45.800000,   20.500000
      61,   46.360656,   20.459016
      62,   46.967742,   20.387097
      63,   47.555556,   20.285714
      64,   48.125000,   20.156250
      65,   48.738462,   20.000000
      66,   49.272727,   19.818182
      67,   49.850746,   19.611940
      68,   50.411765,   19.411765
      69,   50.956522,   19.217391
      70,   51.542857,   19.000000
      71,   52.056338,   18.760563
      72,   52.611111,   18.500000
      73,   53.041096,   18.273973
      74,   53.405405,   18.027027
      75,   53.813333,   17.760000
      76,   54.210526,   17.473684
      77,   54.545455,   17.220779
      78,   54.871795,   16.948718
      79,   55.189873,   16.683544
      80,   55.550000,   16.400000
      81,   55.901235,   16.123457
      82,   56.292683,   15.829268
      83,   56.674699,   15.566265
      84,   57.142857,   15.285714
      85,   57.600000,   14.988235
      86,   58.046512,   14.720930
      87,   58.482759,   14.482759
      88,   58.909091,   14.250000
      89,   59.325843,   14.044944
      90,   59.777778,   13.866667
      91,   60.219780,   13.714286
      92,   60.695652,   13.543478
      93,   61.204301,   13.354839
      94,   61.702128,   13.170213
      95,   62.189474,   13.010526
      96,   62.666667,   12.875000
      97,   63.134021,   12.742268
      98,   63.591837,   12.632653
      99,   64.040404,   12.545455
     100,   64.440000,   12.440000
     101,   64.792079,   12.316832
     102,   65.137255,   12.176471
     103,   65.436893,   12.058252
     104,   65.769231,   11.923077
     105,   66.095238,   11.771429
     106,   66.415094,   11.603774
     107,   66.728972,   11.420561
     108,   67.037037,   11.240741
     109,   67.339450,   11.045872
     110,   67.636364,   10.872727
     111,   67.927928,   10.720721
     112,   68.250000,   10.553571
     113,   68.566372,   10.389381
     114,   68.877193,   10.245614
     115,   69.182609,   10.104348
     116,   69.517241,    9.948276
     117,   69.846154,    9.811966
     118,   70.169492,    9.677966
     119,   70.521008,    9.563025
     120,   70.866667,    9.466667
     121,   71.206612,    9.388430
     122,   71.540984,    9.311475
     123,   71.869919,    9.252033
     124,   72.193548,    9.177419
     125,   72.512000,    9.104000
     126,   72.793651,    9.015873
     127,   73.070866,    8.944882
     128,   73.343750,    8.859375
     129,   73.643411,    8.790698
     130,   73.938462,    8.707692
     131,   74.229008,    8.625954
     132,   74.515152,    8.560606
     133,   74.796992,    8.496241
     134,   75.134328,    8.447761
     135,   75.466667,    8.400000
     136,   75.823529,    8.367647
     137,   76.175182,    8.335766
     138,   76.550725,    8.318841
     139,   76.920863,    8.302158
     140,   77.257143,    8.300000
     141,   77.588652,    8.312057
     142,   77.915493,    8.309859
     143,   78.237762,    8.293706
     144,   78.555556,    8.291667
     145,   78.868966,    8.289655
     146,   79.178082,    8.287671
     147,   79.482993,    8.272109
     148,   79.783784,    8.243243
     149,   80.080537,    8.228188
     150,   80.373333,    8.213333
     151,   80.635762,    8.185430
     152,   80.894737,    8.157895
     153,   81.150327,    8.143791
     154,   81.402597,    8.116883
     155,   81.651613,    8.103226
     156,   81.948718,    8.076923
     157,   82.242038,    8.063694
     158,   82.531646,    8.037975
     159,   82.842767,    8.025157
     160,   83.125000,    8.025000
     161,   83.453416,    8.012422
     162,   83.753086,    7.987654
     163,   84.049080,    7.963190
     164,   84.341463,    7.926829
     165,   84.606061,    7.903030
     166,   84.915663,    7.867470
     167,   85.245509,    7.844311
     168,   85.571429,    7.809524
     169,   85.893491,    7.763314
     170,   86.211765,    7.705882
     171,   86.502924,    7.637427
     172,   86.767442,    7.581395
     173,   87.028902,    7.537572
     174,   87.264368,    7.505747
     175,   87.474286,    7.462857
     176,   87.659091,    7.409091
     177,   87.841808,    7.355932
     178,   88.022472,    7.303371
     179,   88.201117,    7.262570
     180,   88.377778,    7.211111
     181,   88.574586,    7.171271
     182,   88.791209,    7.120879
     183,   89.005464,    7.060109
     184,   89.217391,    7.000000
     185,   89.427027,    6.951351
     186,   89.655914,    6.913978
     187,   89.860963,    6.866310
     188,   90.106383,    6.808511
     189,   90.349206,    6.761905
     190,   90.589474,    6.726316
     191,   90.848168,    6.701571
     192,   91.104167,    6.677083
     193,   91.378238,    6.642487
     194,   91.628866,    6.597938
     195,   91.876923,    6.553846
     196,   92.122449,    6.520408
     197,   92.385787,    6.497462
     198,   92.646465,    6.484848
     199,   92.904523,    6.482412
     200,   93.160000,    6.490000
     201,   93.412935,    6.487562
     202,   93.643564,    6.495050
     203,   93.871921,    6.492611
     204,   94.098039,    6.480392
     205,   94.341463,    6.458537
     206,   94.582524,    6.436893
     207,   94.840580,    6.405797
     208,   95.096154,    6.365385
     209,   95.349282,    6.325359
     210,   95.580952,    6.276190
     211,   95.791469,    6.218009
     212,   96.000000,    6.150943
     213,   96.206573,    6.075117
     214,   96.429907,    5.990654
     215,   96.651163,    5.897674
     216,   96.870370,    5.805556
     217,   97.105991,    5.705069
     218,   97.357798,    5.596330
     219,   97.607306,    5.497717
     220,   97.872727,    5.390909
     221,   98.135747,    5.285068
     222,   98.396396,    5.171171
     223,   98.654709,    5.049327
     224,   98.910714,    4.928571
     225,   99.164444,    4.800000
     226,   99.415929,    4.672566
     227,   99.647577,    4.537445
     228,   99.912281,    4.394737
     229,  100.174672,    4.244541
     230,  100.417391,    4.104348
     231,  100.658009,    3.965368
     232,  100.879310,    3.818966
     233,  101.098712,    3.682403
     234,  101.333333,    3.555556
     235,  101.565957,    3.421277
     236,  101.796610,    3.288136
     237,  102.025316,    3.156118
     238,  102.268908,    3.033613
     239,  102.510460,    2.903766
     240,  102.766667,    2.783333
     241,  103.037344,    2.672199
     242,  103.289256,    2.570248
     243,  103.555556,    2.460905
     244,  103.836066,    2.360656
     245,  104.114286,    2.269388
     246,  104.390244,    2.186992
     247,  104.663968,    2.113360
     248,  104.935484,    2.040323
     249,  105.188755,    1.959839
     250,  105.440000,    1.880000
     251,  105.689243,    1.792829
     252,  105.952381,    1.714286
     253,  106.213439,    1.644269
     254,  106.488189,    1.582677
     255,  106.745098,    1.513725
     256,  107.000000,    1.453125
     257,  107.237354,    1.385214
     258,  107.457364,    1.325581
     259,  107.675676,    1.258687
